rmse	model	kdim	idp	date	sensor
0.27502604223714	Thin_plate_spline	6		2022-01-28T03:30:00Z	par
0.256230170896433	GAM_Penalized	6		2022-01-28T03:30:00Z	par
0.243183750612545	Inverse_dist_weighting		1	2022-01-28T03:30:00Z	par
0.249599577338203	Nearest_neighbor			2022-01-28T03:30:00Z	par
0.616702258017779	GAM_Duchon	9		2022-01-28T03:45:00Z	par
0.654332689825788	GAM_Gaussian	9		2022-01-28T03:45:00Z	par
0.623507588177804	Thin_plate_spline	8		2022-01-28T03:45:00Z	par
0.588148932507158	GAM_Penalized	6		2022-01-28T03:45:00Z	par
0.507250632292169	Inverse_dist_weighting		13	2022-01-28T03:45:00Z	par
0.546809019026103	Nearest_neighbor			2022-01-28T03:45:00Z	par
0.19009468205451	GAM_Duchon	8		2022-01-28T04:00:00Z	par
0.205679460814208	GAM_Gaussian	9		2022-01-28T04:00:00Z	par
0.186783901618585	Thin_plate_spline	8		2022-01-28T04:00:00Z	par
0.12163238501293	GAM_Penalized	7		2022-01-28T04:00:00Z	par
0.25298221281347	Inverse_dist_weighting		69	2022-01-28T04:00:00Z	par
0.26424846569818	Nearest_neighbor			2022-01-28T04:00:00Z	par
0.4730336687086	GAM_Duchon	8		2022-01-28T04:15:00Z	par
0.472818428811413	GAM_Gaussian	9		2022-01-28T04:15:00Z	par
0.468625040408658	Thin_plate_spline	8		2022-01-28T04:15:00Z	par
0.436211650484914	GAM_Penalized	7		2022-01-28T04:15:00Z	par
0.380724037661889	Inverse_dist_weighting		20	2022-01-28T04:15:00Z	par
0.413165765198476	Nearest_neighbor			2022-01-28T04:15:00Z	par
0.510639762837286	GAM_Duchon	6		2022-01-28T04:30:00Z	par
0.503706495025521	GAM_Gaussian	9		2022-01-28T04:30:00Z	par
0.500177078176026	Thin_plate_spline	5		2022-01-28T04:30:00Z	par
0.451280275544543	GAM_Penalized	7		2022-01-28T04:30:00Z	par
0.414718099922163	Inverse_dist_weighting		29	2022-01-28T04:30:00Z	par
0.428977977456834	Nearest_neighbor			2022-01-28T04:30:00Z	par
0.228341237393392	GAM_Duchon	9		2022-01-28T04:45:00Z	par
0.254794047916915	GAM_Gaussian	9		2022-01-28T04:45:00Z	par
