rmse	model	kdim	idp	date	sensor
0.0331387966266331	Thin_plate_spline	8		2022-01-28T03:15:00Z	vpd
0.0334304646008044	GAM_Penalized	7		2022-01-28T03:15:00Z	vpd
0.0385809256971849	Inverse_dist_weighting		4	2022-01-28T03:15:00Z	vpd
0.0401150140716986	Nearest_neighbor			2022-01-28T03:15:00Z	vpd
0.0335348168283036	GAM_Duchon	9		2022-01-28T03:30:00Z	vpd
0.0380505546805676	GAM_Gaussian	5		2022-01-28T03:30:00Z	vpd
0.0371867519188259	Thin_plate_spline	7		2022-01-28T03:30:00Z	vpd
0.0420714671775985	GAM_Penalized	7		2022-01-28T03:30:00Z	vpd
0.043694139856235	Inverse_dist_weighting		3	2022-01-28T03:30:00Z	vpd
0.0445568581278954	Nearest_neighbor			2022-01-28T03:30:00Z	vpd
0.0285523245337883	GAM_Duchon	9		2022-01-28T03:45:00Z	vpd
0.0281896464759544	GAM_Gaussian	5		2022-01-28T03:45:00Z	vpd
0.0327995190459562	Thin_plate_spline	8		2022-01-28T03:45:00Z	vpd
0.0340697524187722	GAM_Penalized	7		2022-01-28T03:45:00Z	vpd
0.0378505857055097	Inverse_dist_weighting		4	2022-01-28T03:45:00Z	vpd
0.0397567006174406	Nearest_neighbor			2022-01-28T03:45:00Z	vpd
0.0288279913481398	GAM_Duchon	9		2022-01-28T04:00:00Z	vpd
0.0348629425843373	GAM_Gaussian	8		2022-01-28T04:00:00Z	vpd
0.0318530393992574	Thin_plate_spline	8		2022-01-28T04:00:00Z	vpd
0.0344523166868377	GAM_Penalized	8		2022-01-28T04:00:00Z	vpd
0.0359641832843083	Inverse_dist_weighting		4	2022-01-28T04:00:00Z	vpd
0.0384601924200057	Nearest_neighbor			2022-01-28T04:00:00Z	vpd
0.026777702487289	GAM_Duchon	9		2022-01-28T04:15:00Z	vpd
0.0335196377465437	GAM_Gaussian	5		2022-01-28T04:15:00Z	vpd
0.0310299834934308	Thin_plate_spline	8		2022-01-28T04:15:00Z	vpd
0.0361223761073066	GAM_Penalized	7		2022-01-28T04:15:00Z	vpd
0.037968699250724	Inverse_dist_weighting		4	2022-01-28T04:15:00Z	vpd
0.0400439036940542	Nearest_neighbor			2022-01-28T04:15:00Z	vpd
0.0303664501060515	GAM_Duchon	9		2022-01-28T04:30:00Z	vpd
0.0351396773458033	GAM_Gaussian	5		2022-01-28T04:30:00Z	vpd
0.035020156374219	Thin_plate_spline	7		2022-01-28T04:30:00Z	vpd
0.0376388417401574	GAM_Penalized	8		2022-01-28T04:30:00Z	vpd
0.0409953518457567	Inverse_dist_weighting		4	2022-01-28T04:30:00Z	vpd
0.0420574244889774	Nearest_neighbor			2022-01-28T04:30:00Z	vpd
0.0322602472906362	GAM_Duchon	9		2022-01-28T04:45:00Z	vpd
0.0322799756497915	GAM_Gaussian	5		2022-01-28T04:45:00Z	vpd
0.0395790084638977	Thin_plate_spline	8		2022-01-28T04:45:00Z	vpd
0.0444069858083938	GAM_Penalized	8		2022-01-28T04:45:00Z	vpd
0.0427864505330772	Inverse_dist_weighting		3	2022-01-28T04:45:00Z	vpd
0.0429417913635129	Nearest_neighbor			2022-01-28T04:45:00Z	vpd
0.0386623869319572	GAM_Duchon	9		2022-01-28T05:00:00Z	vpd
0.0439738583762921	GAM_Gaussian	8		2022-01-28T05:00:00Z	vpd
0.0402100525580543	Thin_plate_spline	8		2022-01-28T05:00:00Z	vpd
0.0413166066896283	GAM_Penalized	5		2022-01-28T05:00:00Z	vpd
0.0412890747481321	Inverse_dist_weighting		4	2022-01-28T05:00:00Z	vpd
0.0422051184227266	Nearest_neighbor			2022-01-28T05:00:00Z	vpd
0.033694863446597	GAM_Duchon	7		2022-01-28T05:15:00Z	vpd
0.0345315855742552	GAM_Gaussian	5		2022-01-28T05:15:00Z	vpd
0.0386665235312391	Thin_plate_spline	7		2022-01-28T05:15:00Z	vpd
