date	sensor	value	cx	cy
2022-01-28T20:15:00Z	vpd01_p	1.68362403539655	72	895
2022-01-28T20:30:00Z	vpd01_p	1.63986722856622	72	895
2022-01-28T20:45:00Z	vpd01_p	1.60686495501904	72	895
2022-01-28T21:00:00Z	vpd01_p	1.59052416012865	72	895
2022-01-28T21:15:00Z	vpd01_p	1.57418039496803	72	895
2022-01-28T21:30:00Z	vpd01_p	1.54295478129567	72	895
2022-01-28T21:45:00Z	vpd01_p	1.50782441999161	72	895
2022-01-28T22:00:00Z	vpd01_p	1.4777689446834	72	895
2022-01-28T22:15:00Z	vpd01_p	1.44591498377351	72	895
2022-01-28T22:30:00Z	vpd01_p	1.4234837348919	72	895
2022-01-28T22:45:00Z	vpd01_p	1.37953746161752	72	895
2022-01-28T23:00:00Z	vpd01_p	1.36023420423777	72	895
2022-01-28T23:15:00Z	vpd01_p	1.33064110889832	72	895
2022-01-28T23:30:00Z	vpd01_p	1.31194850592533	72	895
2022-01-28T23:45:00Z	vpd01_p	1.29561402010493	72	895
2022-01-28T00:00:00Z	vpd02_p	1.29865125393449	496	895
2022-01-28T00:15:00Z	vpd02_p	1.30337362213062	496	895
2022-01-28T00:30:00Z	vpd02_p	1.29767704123663	496	895
2022-01-28T00:45:00Z	vpd02_p	1.30471688052001	496	895
2022-01-28T01:00:00Z	vpd02_p	1.31175671980339	496	895
2022-01-28T01:15:00Z	vpd02_p	1.31644994599231	496	895
2022-01-28T01:30:00Z	vpd02_p	1.32583639837016	496	895
2022-01-28T01:45:00Z	vpd02_p	1.33287623765354	496	895
2022-01-28T02:00:00Z	vpd02_p	1.32697681575343	496	895
2022-01-28T02:15:00Z	vpd02_p	1.33630529951971	496	895
2022-01-28T02:30:00Z	vpd02_p	1.31522526314446	496	895
2022-01-28T02:45:00Z	vpd02_p	1.30708407628429	496	895
2022-01-28T03:00:00Z	vpd02_p	1.29671215623238	496	895
2022-01-28T03:15:00Z	vpd02_p	1.29319493017732	496	895
2022-01-28T03:30:00Z	vpd02_p	1.29997742106986	496	895
2022-01-28T03:45:00Z	vpd02_p	1.30902074225991	496	895
